price,area,bedrooms,bathrooms,address
3.65,83.0,3.0,2.0,quận 9
3.7,81.0,3.0,2.0,quận 9
4.0,82.0,3.0,2.0,quận 9
4.6,92.0,3.0,2.0,quận 9
4.1,87.0,3.0,2.0,quận 9
6.26,108.0,3.0,2.0,quận 9
5.2,55.0,3.0,2.0,quận 9
4.0,81.0,3.0,2.0,quận 9
6.5,54.6,3.0,2.0,quận 9
3.0,86.0,3.0,2.0,quận 9
8.05,116.0,3.0,2.0,quận 9
9.7,86.0,3.0,2.0,quận 10
12.4,103.0,3.0,2.0,quận 10
4.95,98.0,3.0,2.0,quận 10
7.8,90.0,3.0,2.0,quận 10
14.9,108.0,3.0,2.0,quận 10
7.3,90.0,3.0,2.0,quận 10
1.35,81.2,3.0,2.0,bình chánh
1.09,48.0,3.0,2.0,bình chánh
3.65,114.0,3.0,2.0,bình chánh
3.6,114.0,3.0,2.0,bình chánh
5.69,95.0,3.0,2.0,bình chánh
5.4,76.0,3.0,2.0,bình chánh
5.1,83.33,3.0,2.0,bình tân
3.88,82.0,3.0,2.0,bình tân
4.0,86.0,3.0,2.0,bình tân
4.0,68.0,3.0,2.0,bình tân
3.55,75.0,3.0,2.0,bình tân
3.58,81.0,3.0,2.0,bình tân
5.69,63.0,3.0,2.0,gò vấp
6.5,106.0,3.0,2.0,gò vấp
12.0,120.0,3.0,2.0,bình thạnh
12.0,115.0,3.0,2.0,bình thạnh
11.0,100.0,3.0,2.0,bình thạnh
13.0,108.0,3.0,2.0,bình thạnh
15.0,120.0,3.0,2.0,bình thạnh
14.85,112.0,3.0,2.0,bình thạnh
13.0,128.0,3.0,2.0,bình thạnh
12.0,117.0,3.0,2.0,bình thạnh
12.9,115.0,3.0,2.0,bình thạnh
12.5,110.0,3.0,2.0,bình thạnh
12.0,120.0,3.0,2.0,bình thạnh
13.7,120.0,3.0,2.0,bình thạnh
18.9,130.0,3.0,2.0,bình thạnh
11.0,135.0,3.0,2.0,bình thạnh
13.5,141.0,3.0,2.0,bình thạnh
8.48,121.0,3.0,2.0,tân phú
6.65,105.0,3.0,2.0,nhà bè
4.5,106.0,3.0,2.0,nhà bè
6.7,94.0,3.0,2.0,nhà bè
4.4,110.0,3.0,2.0,nhà bè
5.9,95.0,3.0,2.0,nhà bè
5.5,90.0,3.0,2.0,thủ đức
6.35,64.0,4.0,2.0,tân phú
12.45,105.0,3.0,2.0,quận 1
10.39,121.0,3.0,2.0,quận 1
4.14,78.0,2.0,2.0,quận 1
3.135,72.0,2.0,2.0,quận 1
5.18,69.0,2.0,2.0,quận 1
11.26,121.0,3.0,2.0,quận 1
1.99,32.0,1.0,2.0,quận 1
1.965,108.0,3.0,2.0,quận 1
11.0,121.0,3.0,2.0,quận 1
5.1,80.0,2.0,2.0,quận 1
5.1,80.0,2.0,2.0,quận 1
15.0,100.0,3.0,2.0,quận 1
8.0,72.0,2.0,2.0,quận 1
16.5,121.0,3.0,2.0,quận 1
11.0,80.0,2.0,2.0,quận 1
12.0,80.0,2.0,2.0,quận 1
7.9,74.0,2.0,2.0,quận 1
11.5,80.0,2.0,2.0,quận 1
7.9,68.0,2.0,2.0,quận 1
8.0,70.0,2.0,2.0,quận 1
9.0,70.0,2.0,2.0,quận 1
14.9,101.0,3.0,2.0,quận 1
16.0,121.0,3.0,2.0,quận 1
17.0,100.0,3.0,2.0,quận 1
17.5,100.0,3.0,2.0,quận 1
11.0,70.0,2.0,2.0,quận 1
15.5,101.0,3.0,2.0,quận 1
5.0,70.3,2.0,2.0,quận 1
10.5,70.0,2.0,2.0,quận 1
2.0,75.0,2.0,2.0,quận 1
14.0,71.0,2.0,2.0,quận 1
10.2,70.0,2.0,2.0,quận 1
20.0,110.0,2.0,2.0,quận 1
13.6,120.0,3.0,2.0,quận 2
10.5,88.0,2.0,2.0,quận 2
13.0,96.0,2.0,2.0,quận 2
15.0,100.0,2.0,2.0,quận 2
19.0,142.0,3.0,2.0,quận 2
20.0,135.0,3.0,2.0,quận 2
12.0,70.0,2.0,2.0,quận 2
14.0,130.0,2.0,2.0,quận 2
13.5,100.0,2.0,2.0,quận 2
13.0,100.0,2.0,2.0,quận 2
11.7,88.0,2.0,2.0,quận 2
14.0,100.0,2.0,2.0,quận 2
16.8,135.0,3.0,2.0,quận 2
12.0,120.0,3.0,2.0,quận 2
7.0,88.0,3.0,2.0,quận 2
10.0,100.0,2.0,2.0,quận 2
10.5,120.0,3.0,2.0,quận 2
12.0,88.0,2.0,2.0,quận 2
13.0,112.0,3.0,2.0,quận 2
8.2,92.0,2.0,2.0,quận 2
13.0,100.0,2.0,2.0,quận 2
9.7,88.0,2.0,2.0,quận 2
12.9,120.0,3.0,2.0,quận 2
11.5,113.0,3.0,2.0,quận 2
12.9,98.0,2.0,2.0,quận 2
11.0,120.0,3.0,2.0,quận 2
13.5,100.0,2.0,2.0,quận 2
18.0,127.0,3.0,2.0,quận 2
13.0,113.0,3.0,2.0,quận 2
9.2,88.0,2.0,2.0,quận 2
16.0,127.0,3.0,2.0,quận 2
10.3,97.0,2.0,2.0,quận 2
2.46,105.0,3.0,2.0,quận 2
2.455,95.0,3.0,2.0,quận 2
1.689,95.0,3.0,2.0,quận 2
5.999,72.0,2.0,2.0,quận 2
1.34,67.0,2.0,2.0,quận 2
1.55,95.0,3.0,2.0,quận 2
1.55,61.0,2.0,2.0,quận 2
1.28,77.0,2.0,2.0,quận 2
1.55,61.0,2.0,2.0,quận 2
1.45,108.0,3.0,2.0,quận 2
1.58,102.0,3.0,2.0,quận 2
21.0,129.0,3.0,2.0,quận 2
20.5,127.0,3.0,2.0,quận 2
10.5,92.0,2.0,2.0,quận 2
12.9,113.0,3.0,2.0,quận 2
11.5,88.0,2.0,2.0,quận 2
10.2,88.0,2.0,2.0,quận 2
18.0,127.0,3.0,2.0,quận 2
3.105,75.0,2.0,2.0,quận 3
