price,area,bedrooms,bathrooms,address,price_per_m2
3.5,83.0,2.0,2.0,quận 8,0.04216867469879518
19.0,142.0,3.0,2.0,quận 2,0.13380281690140844
3.8,56.0,1.0,1.0,nhà bè,0.06785714285714285
6.4,48.0,1.0,1.0,bình thạnh,0.13333333333333333
15.5,101.0,3.0,2.0,quận 1,0.15346534653465346
1.96,49.0,2.0,2.0,bình thạnh,0.04
2.95,29.5,1.0,1.0,quận 9,0.1
3.95,65.0,2.0,1.0,quận 5,0.06076923076923077
2.52,62.0,2.0,2.0,quận 6,0.04064516129032258
6.5,117.0,3.0,2.0,quận 4,0.05555555555555555
2.3,86.0,2.0,2.0,quận 5,0.026744186046511628
1.79,117.0,3.0,2.0,quận 8,0.015299145299145299
2.455,95.0,3.0,2.0,quận 2,0.025842105263157895
4.2,87.0,2.0,2.0,bình thạnh,0.04827586206896552
7.9,100.0,2.0,2.0,quận 7,0.079
1.45,64.0,2.0,2.0,quận 3,0.02265625
4.5,70.0,2.0,2.0,nhà bè,0.06428571428571428
3.7,81.0,3.0,2.0,quận 9,0.04567901234567901
13.7,107.0,2.0,2.0,bình thạnh,0.12803738317757007
11.8,136.0,3.0,3.0,quận 7,0.08676470588235295
5.6,50.0,1.0,1.0,quận 1,0.11199999999999999
9.5,78.0,4.0,4.0,gò vấp,0.12179487179487179
4.48,82.0,2.0,2.0,quận 7,0.05463414634146342
6.26,108.0,3.0,2.0,quận 9,0.05796296296296296
4.9,105.7,3.0,2.0,quận 9,0.046357615894039736
12.0,125.0,3.0,2.0,phú nhuận,0.096
8.4,152.0,3.0,3.0,quận 7,0.05526315789473685
3.8,65.0,2.0,2.0,quận 12,0.05846153846153846
4.7,75.0,2.0,2.0,quận 9,0.06266666666666666
4.3,71.67,2.0,2.0,quận 9,0.05999720943211943
4.26,52.0,2.0,1.0,quận 7,0.08192307692307692
2.6,52.0,1.0,1.0,tân bình,0.05
8.0,103.0,3.0,2.0,quận 10,0.07766990291262135
17.5,150.0,4.0,3.0,bình thạnh,0.11666666666666667
2.6,53.0,2.0,1.0,quận 7,0.04905660377358491
7.5,92.0,2.0,2.0,quận 7,0.08152173913043478
3.2,48.7,1.0,1.0,quận 9,0.06570841889117043
6.0,49.4,1.0,1.0,quận 2,0.12145748987854252
7.37,75.0,2.0,2.0,quận 4,0.09826666666666667
4.3,60.0,1.0,1.0,quận 4,0.07166666666666667
9.7,88.0,2.0,2.0,quận 2,0.11022727272727272
7.2,72.6,2.0,2.0,quận 2,0.09917355371900828
2.45,47.0,2.0,1.0,quận 9,0.05212765957446809
17.6,132.0,3.0,3.0,quận 5,0.13333333333333333
3.05,53.67,1.0,1.0,quận 7,0.056828768399478286
5.1,47.75,1.0,1.0,quận 2,0.10680628272251308
6.2,96.45,3.0,2.0,quận 9,0.064282011404873
30.0,157.0,4.0,2.0,quận 1,0.1910828025477707
3.2,70.0,3.0,2.0,quận 9,0.045714285714285714
4.3,65.0,1.0,0.0,quận 2,0.06615384615384615
2.21,28.6,1.0,1.0,quận 9,0.07727272727272727
4.0,55.3,2.0,1.0,quận 7,0.07233273056057866
12.0,108.0,2.0,0.0,bình thạnh,0.1111111111111111
10.7,134.0,3.0,2.0,quận 7,0.07985074626865671
2.65,69.3,2.0,2.0,quận 9,0.03823953823953824
4.65,71.3,2.0,2.0,nhà bè,0.06521739130434784
10.5,68.25,2.0,0.0,quận 1,0.15384615384615385
19.2,69.0,2.0,2.0,quận 2,0.2782608695652174
2.67,1.0,2.0,2.0,quận 3,2.67
11.8,117.0,3.0,2.0,quận 2,0.10085470085470086
8.17,77.1,2.0,2.0,quận 2,0.10596627756160831
3.75,73.0,2.0,2.0,quận 9,0.05136986301369863
2.95,98.0,3.0,3.0,quận 3,0.03010204081632653
8.5,80.0,3.0,2.0,quận 3,0.10625
8.8,88.0,2.0,1.0,quận 2,0.1
20.0,135.0,3.0,2.0,quận 2,0.14814814814814814
6.05,86.0,2.0,2.0,quận 10,0.07034883720930232
9.0,114.0,2.0,3.0,quận 7,0.07894736842105263
4.85,70.0,2.0,2.0,nhà bè,0.06928571428571428
37.0,1593.0,46.0,46.0,quận 8,0.02322661644695543
7.5,99.0,3.0,2.0,quận 9,0.07575757575757576
9.0,99.37,3.0,2.0,quận 9,0.0905705947469055
55.9,145.0,3.0,2.0,quận 1,0.3855172413793103
14.8,66.0,2.0,2.0,quận 1,0.22424242424242424
2.3,36.0,1.0,1.0,quận 9,0.06388888888888888
3.6,55.0,1.0,1.0,quận 7,0.06545454545454546
4.7,71.0,2.0,2.0,quận 10,0.06619718309859156
54.0,138.0,3.0,2.0,quận 2,0.391304347826087
2.9,56.5,2.0,1.0,quận 9,0.05132743362831858
8.5,86.0,2.0,2.0,bình thạnh,0.09883720930232558
8.5,88.0,2.0,2.0,quận 7,0.09659090909090909
1.85,80.64,2.0,2.0,quận 4,0.022941468253968256
9.5,52.6,4.0,3.0,thủ đức,0.1806083650190114
9.2,139.0,4.0,2.0,quận 4,0.06618705035971223
8.4,51.0,4.0,5.0,gò vấp,0.16470588235294117
2.75,59.0,2.0,2.0,quận 9,0.046610169491525424
2.7,59.2,2.0,2.0,quận 9,0.04560810810810811
2.75,65.0,2.0,2.0,quận 12,0.04230769230769231
4.55,82.0,2.0,2.0,quận 7,0.05548780487804878
14.0,71.0,2.0,2.0,quận 1,0.19718309859154928
1.35,47.0,1.0,1.0,quận 9,0.028723404255319152
2.4,61.5,2.0,2.0,quận 9,0.03902439024390244
3.105,75.0,2.0,2.0,quận 3,0.0414
